# Поправки, которые решает автор или конкретная запись, а не ярлык.
#
# Формат:  ключ <TAB> жанр <TAB> направление/субжанр <TAB> раздел
#   ключ      — имя автора как в каталоге, либо id:<номер трека Apple>
#   жанр      — пусто = оставить как есть
#   субжанр   — пусто = оставить, «—» = снять
#   раздел    — пусто = оставить, 1 = академическая, 0 = повседневная
#
# Точечные ключи (id:) сильнее авторских.

# ====================================================== джаз по субжанрам
# Из «Жанра не определённого» (165 записей) джазом оказалось почти всё.
# Разделение по стилю и поколению, а не по составу: «вокальный джаз» —
# не стиль, певцы стоят в своей эпохе.

# --- рэгтайм и ранний джаз
Скотт Джоплин (1868–1917)	Джаз	Рэгтайм и ранний джаз	0
Knocky Parker	Джаз	Рэгтайм и ранний джаз
Jelly Roll Morton	Джаз	Рэгтайм и ранний джаз
Luca Sestak	Джаз	Рэгтайм и ранний джаз
Alex Mendham and His Orchestra	Джаз	Свинг

# --- свинг и эпоха биг-бэндов, включая певцов того же времени
Duke Ellington	Джаз	Свинг
The Ink Spots	Джаз	Свинг
Peggy Lee & Benny Goodman Orchestra	Джаз	Свинг
Slim Gaillard	Джаз	Свинг
Louis Armstrong	Джаз	Свинг
Ella Fitzgerald	Джаз	Свинг
Ella Fitzgerald & Louis Armstrong	Джаз	Свинг
Billie Holiday	Джаз	Свинг
Nat "King" Cole	Джаз	Свинг
Frank Sinatra	Джаз	Свинг
Dean Martin	Джаз	Свинг
Jimmy Durante	Джаз	Свинг
Art Tatum	Джаз	Свинг
Erroll Garner	Джаз	Свинг
Ben Webster	Джаз	Свинг
Christophe Dal Sasso & Dal Sasso Big Band	Джаз	Свинг
The Sonny Lester Orchestra	Джаз	Свинг
Lady Gaga	Джаз	Свинг
The Swingle Singers	Джаз	Свинг
Eugen Cicero	Джаз	Свинг
Scott Bradlee's Postmodern Jukebox	Джаз	Свинг
Jamie Cullum	Джаз	Свинг

# --- бибоп и хард-боп
Charlie Christian	Джаз	Бибоп и хард-боп
Cyrus Chestnut	Джаз	Бибоп и хард-боп
Art Blakey & The Jazz Messengers	Джаз	Бибоп и хард-боп
Lee Morgan	Джаз	Бибоп и хард-боп
Thelonious Monk	Джаз	Бибоп и хард-боп
Kenny Burrell	Джаз	Бибоп и хард-боп
Joe Henderson	Джаз	Бибоп и хард-боп
Randy Weston Trio & Cecil Payne	Джаз	Бибоп и хард-боп
Roy Haynes	Джаз	Бибоп и хард-боп
Wes Montgomery	Джаз	Бибоп и хард-боп
Connie Han	Джаз	Бибоп и хард-боп
Valerie Capers	Джаз	Бибоп и хард-боп
Dan Wilson	Джаз	Бибоп и хард-боп

# --- кул-джаз
Chet Baker	Джаз	Кул-джаз
Dave Brubeck	Джаз	Кул-джаз
The Dave Brubeck Quartet	Джаз	Кул-джаз
Paul Desmond	Джаз	Кул-джаз
Bill Evans	Джаз	Кул-джаз
Bill Evans & Jim Hall	Джаз	Кул-джаз
Vince Guaraldi Quartet	Джаз	Кул-джаз
Igor Levit	Джаз	Кул-джаз

# --- модальный джаз и постбоп
Miles Davis	Джаз	Модальный джаз и постбоп
Miles Davis Quintet	Джаз	Модальный джаз и постбоп
John Coltrane	Джаз	Модальный джаз и постбоп
John Coltrane Quartet	Джаз	Модальный джаз и постбоп
Duke Ellington & John Coltrane	Джаз	Модальный джаз и постбоп
Charlie Haden	Джаз	Модальный джаз и постбоп
Chris Potter	Джаз	Модальный джаз и постбоп
Keith Jarrett	Джаз	Модальный джаз и постбоп
Charles Mingus	Джаз	Модальный джаз и постбоп

# --- босса-нова и латиноамериканский джаз
Antônio Carlos Jobim	Джаз	Босса-нова и латино-джаз
Astrud Gilberto	Джаз	Босса-нова и латино-джаз
Stan Getz & João Gilberto	Джаз	Босса-нова и латино-джаз
Frank Sinatra & Antônio Carlos Jobim	Джаз	Босса-нова и латино-джаз
Jesus Molina	Джаз	Босса-нова и латино-джаз
Adam O'Farrill	Джаз	Босса-нова и латино-джаз
Panam Panic	Джаз	Босса-нова и латино-джаз

# --- фьюжн
Herbie Hancock	Джаз	Джаз-фьюжн
Bob James	Джаз	Джаз-фьюжн
Quincy Jones	Джаз	Джаз-фьюжн
Victor Wooten	Джаз	Джаз-фьюжн
STR4TA	Джаз	Джаз-фьюжн
Cory Wong & Jon Batiste	Джаз	Джаз-фьюжн
Bill Withers & Grover Washington, Jr.	Джаз	Джаз-фьюжн
FKJ	Джаз	Джаз-фьюжн
James Francies	Джаз	Джаз-фьюжн
Sons Of Kemet	Джаз	Джаз-фьюжн
Portico Quartet	Джаз	Джаз-фьюжн
Smooth Jazz All Stars	Джаз	Джаз-фьюжн
Kirk Fletcher	Блюз	Блюз-рок

# --- современный джаз
Brad Mehldau	Джаз	Современный джаз
Brad Mehldau & Orpheus Chamber Orchestra	Джаз	Современный джаз
Tigran Hamasyan	Джаз	Современный джаз
Shai Maestro	Джаз	Современный джаз
Avishai Cohen	Джаз	Современный джаз
Bill Laurance	Джаз	Современный джаз
Hiromi	Джаз	Современный джаз
John Zorn	Джаз	Современный джаз
Jakub Hajdun Trio	Джаз	Современный джаз
Benjamin Moussay	Джаз	Современный джаз
Claudia Solal & Benjamin Moussay	Джаз	Современный джаз
Karim Blal	Джаз	Современный джаз
Håkon Stene	Джаз	Современный джаз
Daniel Tamayo Quintet	Джаз	Современный джаз
Enrico Pieranunzi, André Ceccarelli & Diego Imbert	Джаз	Современный джаз
Paolo Di Sabatino, Janek Gwizdala & Peter Erskine	Джаз	Современный джаз
The Bad Plus	Джаз	Современный джаз
The Chick Corea New Trio	Джаз	Современный джаз
Martin Tingvall	Джаз	Современный джаз
Melody Gardot	Джаз	Современный джаз
Laufey	Джаз	Современный джаз
Kurt Elling	Джаз	Современный джаз
Kurt Elling, Charlie Hunter & Superblue	Джаз	Современный джаз
Branford Marsalis Quartet & Kurt Elling	Джаз	Современный джаз
Benny Benack III & Steven Feifke	Джаз	Современный джаз
ARTEMIS	Джаз	Современный джаз
AM	Джаз	Современный джаз
Caleb Arredondo	Джаз	Современный джаз
William Beatty	Джаз	Современный джаз
PYJÆN & Odette Peters	Джаз	Современный джаз
Олег Грымов, Пётр Ившин, Иван Норкин, Pavel Ershov & Artem Tretyakov	Джаз	Современный джаз
James Newton	Джаз	Современный джаз
Nikolai Kapustin	Джаз	Современный джаз
The Real Group	Джаз	Современный джаз

# --- джаз, написанный академическими композиторами: раздел остаётся
# академическим, направление называется своим именем
Джордж Гершвин (1898–1937)	Джаз	Симфоджаз	0
Александр Цфасман (1906–1971)	Джаз	Симфоджаз	0
Зез Конфри (1895–1971)	Джаз	Рэгтайм и ранний джаз	0
Коул Портер (1891–1964)	Джаз	Свинг	0
Режё Шереш (1899–1968)	Джаз	Свинг	0
Билл Эванс (1929–1980)	Джаз	Свинг	0

# --- не джаз, просто лежало в той же куче
Oasis	Рок	Классический рок
We Are Scientists	Рок	Альтернативный рок
Johnny Cash	Кантри	Кантри
B.B. King	Блюз	Блюз-рок
Puma Blue	Рок	Альтернативный рок

# ================================================ разбор прочих завалов
# Элфман — киномпозитор, но концерт для ударных написан для сцены,
# а не для экрана: «киномузыка» тут просто неверна.
id:1737254882	XXI век	концертная музыка	1
id:1737254892	XXI век	концертная музыка	1
id:1737255082	XXI век	концертная музыка	1
id:1737255088	XXI век	концертная музыка	1

# Хильдегарда звучит здесь не средневековьем, а современной обработкой:
# альбом целиком переигран на рояле.
Хильдегарда Бингенская (1098–1179)	Классический кроссовер	Переложения	0
# А вот это средневековье настоящее — ансамбль ранней музыки.
Ensemble Labyrinthus	Ранняя музыка	Ранняя музыка

# Каули — американский модернист, а не нью-эйдж.
Henry Cowell	Модернизм	американский модернизм	1
# О'Райли и Исихара играют переложения: рок и Бах на рояле.
Christopher O'Riley	Классический кроссовер	Переложения	0
Shinji Ishihara	Классический кроссовер	Переложения	0

# Оркестровая запись без разметки композитора — не «жанр не определён»,
# а академическая музыка, у которой не заполнен лист.
USSR State Television and Radio Symphony Orchestra, Gennady Rozhdestvensky & Mikhail Cherniakhovsky	Академическая музыка вне разметки	—	1

# Ещё двое из «жанра не определённого»: мейнстримная фортепианная традиция
# и певица того же круга стандартов.
Oscar Peterson	Джаз	Свинг
Oscar Peterson Trio	Джаз	Свинг
Nina Simone	Джаз	Свинг

# Китайская традиционная запись — не академическая школа, а мировая музыка.
Аноним (китайская традиционная музыка)	Мировая музыка	—	0
# Субжанр, повторяющий жанр, ничего не добавляет.
Ensemble Labyrinthus	Ранняя музыка	—
The Kilimanjaro Darkjazz Ensemble	Электронная музыка	Электроника

# ==================================================== разбор саундтреков
# Правило владельца: саундтрек — это музыка, написанная для фильма, и
# прежде всего оркестровая. Песня, которую взяли в фильм, остаётся
