# Сведение жанров и эпох к осмысленному набору.
# Формат: ярлык как в таблице <TAB> новый ярлык
#
# Правило: ярлык, под которым стоит один-два трека, не жанр, а опечатка
# каталогизатора. Такие сводятся к родителю. Там, где решает не ярлык,
# а конкретный автор, правка стоит в assign.tsv.

# --- джаз: в таблице он был размазан по девяти ярлыкам, из которых
# «Рэгтайм» и «Регтайм» — одно и то же слово. Жанр один, разделение
# ушло в субжанр.
Джаз	Джаз
Современный джаз	Джаз
Свинг	Джаз
Свинг / биг-бэнд	Джаз
Бибоп	Джаз
Латино-джаз	Джаз
Вокальный джаз	Джаз
Рэгтайм	Джаз
Регтайм	Джаз

# --- модернизм и авангард: «XX века» ничего не добавляет, оба явления
# в других веках не встречаются.
Модернизм XX века	Модернизм
Авангард XX века	Авангард

# --- рок: «Британский рок» и «Ретро-поп / рок» — субжанры, а не жанры.
Британский рок	Рок
Ретро-поп / рок	Рок

# --- мировая музыка вместо трёх ярлыков по паре треков
Латиноамериканская / мировая музыка	Мировая музыка
Народная	Мировая музыка
Регги	Мировая музыка

# --- прочие слияния мелких
Кантри	Фолк / кантри
Фолк	Фолк / кантри
Диско	R&B / соул / фанк
Сезонная музыка	Поп
Корейская инди-музыка	Поп
Нью-эйдж	Инструментальная музыка

# --- ранняя музыка: «Ренессанс» (4 трека) и подлинное средневековье
# держатся вместе, а «Средневековье» Хильдегарды — обработка, и уходит
# в кроссовер (см. assign.tsv).
Ренессанс	Ранняя музыка
